id,source,file,type,bytes,pages,words,extraction_status,content_category,primary_pillar,secondary_pillars,topics,recommended_use,priority,sensitivity,verification,duplicate_group,notes,sha256
SRC-001,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Brožová.docx,Brožová.docx,docx,13617,,207,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,8744b578f08b2f381164cb14281d59c50760aa45a98057c78a766ddf4ea7722b
SRC-002,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Břetislav Lukeš.odt,Břetislav Lukeš.odt,odt,6465,,138,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,2c04055adafb5067237063b60c2a700115958798795e83d776841c07881198e1
SRC-003,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Jakub Tříska.docx,Jakub Tříska.docx,docx,10581,,142,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,42a88e85b3a08483934ee31653f0c934f0f3233716226c95183ddc352d1a80f0
SRC-004,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Jan Macoure1.docx,Jan Macoure1.docx,docx,11411,,203,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,e26a3217be316fcb943742757aa0f7e9ba3fef3ab3a440f700c721f6e94a791c
SRC-005,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Jan_Kana_volby_2026_predstaveni_kandidata.docx,Jan_Kana_volby_2026_predstaveni_kandidata.docx,docx,14054,,224,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,c294076485da1a9d2aeec45decceff4d1e0469c78138378d26283bf435bc2531
SRC-006,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Lenka Bulova.docx,Lenka Bulova.docx,docx,15052,,177,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,660bcd6fd59449cb8ee6697c4034fb21d430667b11d9cce3f64cb735300f3794
SRC-007,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Romana Bernardová.docx,Romana Bernardová.docx,docx,11020,,147,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,629e9dc201ba36462aacdf735b383d2e0aac3bd261e1798c1dc98029e70ebf94
SRC-008,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Tomáš Říha - volby 2026.docx,Tomáš Říha - volby 2026.docx,docx,14109,,253,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,055153416b4c06571479979c5e85858951883d509eea30c37911ff8311251b1e
SRC-009,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Vojtěch Brož.docx,Vojtěch Brož.docx,docx,10435,,80,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,58d0a57b32edfe0ad4a267274e1d7100aaccefcb873d3ef520354efc442e1ea7
SRC-010,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Václav Šmerda.docx,Václav Šmerda.docx,docx,11899,,237,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,29da986747f6fff6f6bfe876266297932269940fd366a5f06746e8a8e1e49750
SRC-011,content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Jednotliví kandidáti/Řeřucha.docx,Řeřucha.docx,docx,13946,,90,extracted,Kandidátský medailonek,Lidé,,kandidát; vztah k obci; zkušenost; motivace,Campaign HQ profil; SoMe medailonek; webový profil,P0,autorizace kandidátem,"Potvrdit roli, délku praxe, claim a konkrétní výsledky",,Publikační redakce je v 01_medailonky_pro_socialni_site.md,7cba7645730a40a398608c1d0af6135b1d82e9f816e44214d981fbf5bfcdc582
SRC-012,"content-audit/01_rozbaleno/Projekt PJ2603 Adresar/Kandidáti pořadí, kontakty.xlsx","Kandidáti pořadí, kontakty.xlsx",xlsx,13004,,460,extracted,Interní kontaktní evidence,Interní,,pořadí kandidátky; kontakty,Pouze interní produkční koordinace,P0,osobní údaje — neveřejné,Ověřit souhlasy a aktuálnost; nepřenášet do veřejných dat,,Obsahuje e-maily a telefonní čísla kandidátů a podporovatelů,0a927ea2019ed42515061887b16092caad2fed765707765f3f6e1dbb9fd1d542
SRC-013,content-audit/01_rozbaleno/TK2603-0192/Dezinformace ODS.docx,Dezinformace ODS.docx,docx,137809,,485,extracted,Reakční / polemický podklad,Vysvětlujeme,Dokumenty a důkazy,fact-check; kanalizace; plynofikace; Bílá vrátka; škola; územní plán,Rozdělit do samostatných faktických karet a zdrojovaných článků,P2,vysoké politické a reputační riziko,Úplná faktická a právní kontrola; stáhnout všechny odkazované zdroje,,Název ani útočné formulace nepublikovat; jeden časový údaj zřejmě obsahuje překlep,70e7a905e81a8ccdfe2dc25fc61df1f5301e730465466306f086f65b80ecaef1
SRC-014,content-audit/01_rozbaleno/TK2603-0192/Logo.jpg,Logo.jpg,jpg,422735,,0,metadata-only,Starší vizuální asset,Interní,,logo,Archiv; nepoužívat místo schválených brand assetů,P3,bez omezení,Porovnat s aktuálním brand sheetem,,Campaign HQ má novou kanonickou sadu loga v public/images/brand,8664f440920a56e1769030e316e6a85e6d5d840f3709bbfd4070edddb54c02ed
SRC-015,content-audit/01_rozbaleno/TK2603-0192/Studie radnice.pdf,Studie radnice.pdf,pdf,15225682,11,5749,extracted,Projektová studie,Plány,Vysvětlujeme; Dokumenty a důkazy,radnice; Horní náves; veřejný prostor; architektura,Webový článek; vizualizační carousel; dokumentový post,P0,aktuálnost projektu,"Ověřit současný status, rozsah, rozpočet a návazné kroky",,"Studie z 05/2024; částka 44,35 mil. Kč je historický hrubý odhad",39656957028d782beeb033c7e7e4abd4e478ce95ed2865d7f833305d4132e4bd
SRC-016,content-audit/01_rozbaleno/TK2603-0192/zelen.docx,zelen.docx,docx,18931,,560,extracted,Tematický autorský podklad,Hotová práce,Rozdělané věci; Plány; Dokumenty a důkazy,zeleň; veřejný prostor; klima; údržba,Webový pilířový článek; carousel; projektové posty,P0,běžná redakční kontrola,"Ověřit lokality, etapy, data, pasport a plán péče",,Silný pozitivní podklad; rozdělit na několik projektových příběhů,01e6a22414f08700d20dc771916f445e39b016d94250bba013cbf2a3d75fab3c
SRC-017,content-audit/01_rozbaleno/TK2603-0392/VOLBY 2026 Lukeš rozvoj obce brzda.docx,VOLBY 2026 Lukeš rozvoj obce brzda.docx,docx,17812,,775,extracted,Tematický autorský podklad,Vysvětlujeme,Plány; Dokumenty a důkazy,development; územní plán; stavební uzávěra; kapacita obce,"Zdroj pro neutrální, dokumentovaný webový článek a FAQ",P1,politicky a právně citlivé,"Ověřit všechna čísla, právní status dokumentů a role aktérů",,Původní konfrontační tón nepoužívat; přepsat na vysvětlující časovou osu,1aa6d1d1a6990d60535300a07e83bc011863da4cb8740ff731b7116f336dae95
SRC-018,content-audit/01_rozbaleno/TK2603-0392/Úvodník.docx,Úvodník.docx,docx,10465,,84,extracted,Kampaňový úvodník,Plány,Hotová práce; Vysvětlujeme,program; konkrétní závazky; historie práce,Webový úvod programu; připnutý SoMe rozcestník; úvodní video,P1,redakční úprava,"Navázat na schválené priority, garanty a první kroky",,Přepsat pozitivně bez srovnávání s jinými subjekty,d50648f7d7d3188d522ef8f3c51f00f48c970b4df4d836d8a23b649057193513
SRC-019,"content-audit/01_rozbaleno/TK2603-0395/Důkazy, materiály, zápisy/Vyhláška 3-2001 o závazných částech územního lánu obce Přezletice.pdf",Vyhláška 3-2001 o závazných částech územního lánu obce Přezletice.pdf,pdf,5967759,13,26,extracted,Právní / územně-plánovací dokument,Dokumenty a důkazy,Vysvětlujeme,územní plán; vyhláška; development,Primární zdroj pro článek o vývoji územního plánu,P1,právní interpretace,OCR/extrakce je minimální; vizuálně přečíst a ověřit účinnost i návazné změny,,Název souboru zřejmě obsahuje překlep „lánu“ místo „plánu“,30434a67b4ff0387bd812e8b55afaadeffa27d0be5a92d83c6d44f2818f09344
SRC-020,"content-audit/01_rozbaleno/TK2603-0395/Důkazy, materiály, zápisy/Zastupitelstvo vymezení poz b vrátka 27.07.2011.pdf",Zastupitelstvo vymezení poz b vrátka 27.07.2011.pdf,pdf,115670,4,1678,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",binary-74ceedfec1,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,74ceedfec1cfac8cd07d7a23ccf823a17915a6bff6123edbeeb74b65fc17a123
SRC-021,"content-audit/01_rozbaleno/TK2603-0395/Důkazy, materiály, zápisy/Územní plán 2001.jpeg",Územní plán 2001.jpeg,jpeg,429134,,0,metadata-only,Důkazní obrazový dokument,Dokumenty a důkazy,Vysvětlujeme,územní plán; development; historie,Výřez do časové osy nebo porovnávací mapy,P1,kontext a čitelnost,"Ověřit původ, úplnost, legendu, měřítko a právní status",,Obrazový soubor vyžaduje ruční vizuální revizi,0d88ab8cabffc3b4d4e37de28c5a5bc4f87121346bc017770276c4d3bc203a61
SRC-022,content-audit/01_rozbaleno/TK2603-0395/Hasiči - Jak jsme o ně přišli.docx,Hasiči - Jak jsme o ně přišli.docx,docx,18222,,415,extracted,Historický tematický podklad,Vysvětlujeme,Dokumenty a důkazy; Komunita,SDH; jednotka obce; IZS; spolkový život; bezpečnost,Neutrální chronologie; FAQ o podmínkách případné obnovy,P2,vysoké právní a reputační riziko,"Ověřit registry, usnesení, katastr, vybavení a aktuální legislativu s HZS",,Rozlišit spolek SDH a jednotku požární ochrany obce,57b816ff15bc209084cfe19cf78f8f35d12ab752f9b42372d39b9bb2d5f1bccd
SRC-023,content-audit/01_rozbaleno/TK2603-0395/Zasedání.docx,Zasedání.docx,docx,10584,,59,extracted,Rešeršní rejstřík,Dokumenty a důkazy,Vysvětlujeme,Bílá vrátka; MŠ; obchod; restaurace; Czech POINT,Navigace do konkrétních zastupitelských zápisů,P1,interní pracovní podklad,Porovnat každý bod s originálním zápisem a usnesením,,Není samostatným důkazem; pouze seznam míst k dohledání,f4bd89a40740cf69d2c7a64dd199192fd6662658331b69f3ef8dbda61cdc34f6
SRC-024,content-audit/01_rozbaleno/TK2603-0395/Zápis 10_17.12.2012.pdf,Zápis 10_17.12.2012.pdf,pdf,166632,9,3547,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,3fa3baac76f677ff8e44c2b8dc6e66dc0dcd4d98c72cd75ec7f2d3f12787e2a2
SRC-025,content-audit/01_rozbaleno/TK2603-0395/Zápis 11_21.10.2011_mimořád.pdf,Zápis 11_21.10.2011_mimořád.pdf,pdf,106425,3,861,extracted,Důkazní dokument,Dokumenty a důkazy,Vysvětlujeme,historie obce; rozhodování zastupitelstva,"Zdroj pro časovou osu, fact-check nebo přílohu článku",P2,interní pracovní podklad,"Ověřit relevantní body, datum, usnesení a kontext před citací",,PDF zápisu; nepublikovat bez vysvětlujícího kontextu,6f18feeaf200347f52b5afdfad9e31bd2cd12c3cd690ba4734108de04a59a498
